,Content,Sentiment,content_clean
273,"Saya sudah sampai ditahap mengisi lokasi satpas... Tapi disitu ga ada pilihannya... Diketik manual juga ga bisa... Jadinya saya ga bisa lanjut proses lagi. Saya tinggal di solo jateng. Tgl 26/06/2021 saya update , Alhamdulillah udah ada pilihan lokasi satpasnya jadi proses bisa saya lanjutkan dan udah selesai tinggal nunggu SIM diproses. Tgl 29/06/2021 SIM nya Udah sampai. Alhamdulillah. Terima kasih POLRI Sukses & Jaya selalu",Positif,tahap isi lokasi satpas situ ga pilih ketik manual ga ga proses tinggal solo jateng tgl update alhamdulillah udah pilih lokasi satpasnya proses lanjut udah selesai tinggal nunggu sim proses tgl sim nya udah alhamdulillah terima kasih polri sukses jaya
274,"Kepada developer tolong diperbaiki segera pada bagian proses registrasi perpanjangan SIM. Step pemilihan Wilayah Polda & SATPAS loading terus padahal sinyal bagus waktu dicoba ke app lain, jadi tidak bisa lanjut ke step selanjutnya, perbaiki segera ya. karena saya mau perpanjang SIM tinggal H-10 lagi nih masa berlakunya mau habis Terimakasih",Positif,developer tolong baik proses registrasi panjang sim step pilih wilayah polda satpas loading sinyal bagus coba app step baik ya panjang sim tinggal h nih laku habis terimakasih
275,Mau ambil OTP saja susah banget...ini gimana sih,Negatif,ambil otp susah banget gimana sih
276,"Sudah melakukan pembayaran untuk perpanjangan SIM C pada hari sabtu 26/6/2021 jam 13.25 namun sampai sekarang (30/6/2021) belum masuk ke tahap 'Diproses', kenapa lama sekali ya?",Positif,bayar panjang sim c sabtu jam masuk tahap proses ya
277,"Izin bertanya komandan, bagaimana cara mengurus SIM yg hilang secara online",Positif,izin komandan urus sim yg hilang online
278,Kenapa belum tersedia?,Negatif,sedia
279,"Izin brtanya utk admin.., knapa ketika melakukan perpanjangan SIM A selalu trouble dalam upload e-ktp, foto diri, dan foto wajah? pdahal kmaren sdh siap dipembayaran. mohon infonya thks 🙏",Positif,izin brtanya utk admin knapa panjang sim a trouble upload e-ktp foto foto wajah pdahal kmaren sdh bayar mohon info thks
280,"Mantap, memudahkan. Bravo polri",Positif,mantap mudah bravo polri
281,"Apakah hanya saya saja yang verifikasi KTP,untuk buka mulut walaupun berulang kali tetap waktu habis, atau ada yang lain mengalami",Positif,verifikasi ktpuntuk buka mulut ulang kali habis alami
282,Tolong bantuannya cara perpanjang SIM C di aplikasi ini gimana ya???🙏,Positif,tolong bantu panjang sim c aplikasi gimana ya
283,"tolong untuk petugas online yang ada di polres jombang lebih tepat waktu datang kerjanya,agar saat pengambilan sendiri tidak terlalu lama nunggunya",Negatif,tolong tugas online polres jombang kerjanyaagar ambil nunggunya
284,Stuck di login ga bisa masuk,Negatif,stuck login ga masuk
285,Saya mau mutasi SIM bareng perpanjang apakah bisa lewat aplikasi ini?,Positif,mutasi sim bareng panjang aplikasi
286,Mantaaaaaaapppppp.... Sangat terbantu dengan aplikasi ini.,Positif,mantaaappp bantu aplikasi
287,"Saya sudah melakukan pembayaran tgl 28 Juni , tapi keterangannya dibayar terus dan belum ke titik di proses , berapa lama saya harus nunggu ?",Positif,bayar tgl juni terang bayar titik proses nunggu
288,Cara prpanjang sim nya gmna ko blom trsedia,Positif,prpanjang sim nya gmna ko blom trsedia
289,Saya masih coba tapi gagal terus verifikasinya. Kalau SIM masa aktifnya sudah habis apa masih bisa diproses di sini?,Positif,coba gagal verifikasi sim aktif habis proses
290,"Mau tanya admin vertifikasi KTP, sama fotoh wajah gagal terus dan susah banget ya? Gimana caranya biar bisa vertifikasi nih, sim c 1 bulan lgi mau habis.",Netral,admin vertifikasi ktp fotoh wajah gagal susah banget ya gimana biar vertifikasi nih sim c lgi habis
291,Ini asli kn dari korlantas...sya mau prpanjang sim tpi apk nya takut ga resmi dari korlantas..,Positif,asli kn korlantas sya prpanjang sim tpi apk nya takut ga resmi korlantas
292,Joosss... Transparan dan pastinya jadi lebih praktis.,Positif,joosss transparan pasti praktis
293,Saya baru menyelesaikan data dan pembayarannya tgl 29 juni.. sim saya habis tgl 1 juli. Saya agak telat di verivfikasi ktp... Apakah tetap di proses??? Terima kasih korlantas polri,Positif,selesai data bayar tgl juni sim habis tgl juli telat verivfikasi ktp proses terima kasih korlantas polri
294,Jo Oos,Positif,jo oos
295,"Awal regis jumat 26 juni 2021 SIM di antar dan di Terima di rumah selasa 29 juni 2021 jadi estimasi sekitar 5 hari yang katanya cuma 3 hari... Mungkin karna sabtu minggu lgi off jadi nambah 2 hari... Keseluruhan sih oke sangat membantu bagi yang tidak punya banyak waktu untuk ke satpas SIM apalgi di musim pandemi ini... Semoga makin bagus aplikasi ini untuk kedepannya, terimakasih 🙏",Positif,regis jumat juni sim terima rumah selasa juni estimasi karna sabtu minggu lgi off nambah sih oke bantu satpas sim apalgi musim pandemi moga bagus aplikasi depan terimakasih
296,Luar biasa,Positif,
297,"terimakasih Korlantas Polri, saya tidak perlu repot ke kantor untuk memperpanjang SIM, cukup dengan aplikasi ini. Ditunggu ya fitur-fitur lainnya yang saat ini masih dalam proses pengembangan",Positif,terimakasih korlantas polri repot kantor panjang sim aplikasi tunggu ya fitur-fitur proses kembang
298,Verifikasi email nya ko gx bisa terus ya.. Padahal dah benar alamat emailnya...,Netral,verifikasi email nya ko gx ya dah alamat email
299,"Proses terakhir simpan data (konfirmasi data) kok gak bisa lanjut ya ""terjadi kesalahan...""? Kenapa ya?",Positif,proses simpan data konfirmasi data gak ya salah ya
300,Sangat membantu,Positif,bantu
301,"Goood... Tolong setelah proses pembayaran selesai, harap diberikan notif jika proses perpanjangan aim membutuhkan waktu 3-7 hari kerja. Oiya utk yg sekarang ga dpt kartu asuransi kecelakaan diri pengemudi ya..",Positif,goood tolong proses bayar selesai harap notif proses panjang aim butuh kerja oiya utk yg ga dpt kartu asuransi celaka kemudi ya
302,"susah banget proses verifikasi nya, berulang2 gagal",Netral,susah banget proses verifikasi nya ulang gagal
303,Alhamdulillah paket udh berjalan terima kasih semoga tambah sukses aplikasi nya,Positif,alhamdulillah paket udh jalan terima kasih moga sukses aplikasi nya
304,Coba dulu. Apakah ini pengganti dari aplikasi e-samsat nasional?,Positif,coba ganti aplikasi e-samsat nasional
305,Kak ini cek rekeningnya kok lama ya prosesnya,Positif,kak cek rekening ya proses
306,"Belum bisa bikin sim baru, nanti bintang diubah kalau udah bisa dan lulus buat sim",Negatif,bikin sim bintang ubah udah lulus sim
307,"Luar biasa buat sim online hari sabtu, hari selasa sudah diterima simnya dikirim via pos",Positif,sim online sabtu selasa terima simnya kirim via pos
308,Bagus banget. Sangat membantu disituasi pandemic ini. Thx POLRI,Positif,bagus banget bantu situasi pandemic thx polri
309,Sangat membantu dalam proses perpaduan SIM,Positif,bantu proses padu sim
310,Jozzz,Positif,jozzz
311,Untuk kesalahan tahun masa berlaku bagaimana cara memperbaiki?,Positif,salah laku baik
312,Untuk wilayah Jateng blm bisa . Tolong di perbaiki lgi,Negatif,wilayah jateng blm tolong baik lgi
313,Ewy 3?u5g sdh sdh C4?. Y,Negatif,ewy ug sdh sdh c y
314,Setelah transfer berapa lama ya harus menunggu proses selanjutnya??...,Positif,transfer ya tunggu proses
315,Good job,Positif,good job
316,Wilayah polda jateng kok gk ada,Netral,wilayah polda jateng gk
317,Aplikasi apa ini kok gk bisa masuk kodenya,Negatif,aplikasi gk masuk kode
318,Sangat membantu perpanjangan SIM,Positif,bantu panjang sim
319,"Sangat membantu praktis, efektif dan menghemat waktu dalam penerbitan/perpanjangan SIM. Oya untuk check kesehatan dapat secara online atau terkoneksi dengan Puskesmas/klinik/layanan kesehatan terdekat. Karena untuk check kesehatan harus datang ke pusat layanan kesehatan di polres/rumah sakit polisi.",Positif,bantu praktis efektif hemat terbit panjang sim oya check sehat online koneksi puskesmas klinik layan sehat dekat check sehat pusat layan sehat polres rumah sakit polisi
320,Pelayanan sangat baik..,Positif,layan
321,Tolong di bantu kenapa untuk pilihan polda sematera selatan tidak terbuka hanya loading saja,Positif,tolong bantu pilih polda sematera selatan buka loading
322,"Saya ko ga bisa verifikasi email saya, blm ada yg masuk ke email saya buat verifikasi emailnya, sudah berulang kali minta verifikasi email tp blm ada yg masuk emailnya.knp ya. Tolong penjelasannya.tq",Positif,ko ga verifikasi email blm yg masuk email verifikasi email ulang kali verifikasi email tp blm yg masuk email knp ya tolong jelas tq
323,Mantap🙏,Positif,mantap
324,minta otp tapi nggak dikirim2 gitu terus,Negatif,otp nggak kirim gitu
325,Ribet dan ga praktis Terima kasih,Negatif,ribet ga praktis terima kasih
326,"Kenapa kolom pada wilayah polda dan wilayah satpas tidak bisa di isi? Mohon masukkannya, terima kasih",Negatif,kolom wilayah polda wilayah satpas isi mohon masuk terima kasih
327,"semua data sudah terisi, tp terhenti di satpas, lokasi tidak ditemukan, lokasi saya sangata kutai timur, kenapa ya ndan",Netral,data isi tp henti satpas lokasi temu lokasi sangata kuta timur ya ndan
328,"min d proses ter akhir nya simpan data,, tidak bisa,, begitu klik simpan data malah kluar dari aplikasi,,, jadi gmn min? udah d coba beberapa kali dan berbeda waktu masih gtu aja,,,",Positif,min d proses ter nya simpan data klik simpan data kluar aplikasi gmn min udah d coba kali beda gtu aja
329,"Aplikasinya sangat bagus dan memudahkan mengurus SIM secara online, tanpa ribet. Semoga ke depan SATPAS dapat merata ada di seluruh provinsi, terimakasih",Positif,aplikasi bagus mudah urus sim online ribet moga satpas rata provinsi terimakasih
330,"Alhamdulillah terbantu dengan applikasi ini, terima kasih",Positif,alhamdulillah bantu applikasi terima kasih
331,"Terimakasih untuk Polri ,adanya aplikasi ini sangat membantu sekali untuk masyarakat Indonesia dlm proses pembuatan/perpanjang sim secara online.",Positif,terimakasih polri aplikasi bantu masyarakat indonesia dlm proses buat panjang sim online
332,"Pak polisi. Mohon informasikan saya sdh selesai tes psikologi dan kesehatan, kan habis tu satpas, tapi saya ketik gak bisa, apakah ini dari Nungguin dari kepolisian juga, karena saya kurang tahu urutan, saya ketik satpas polda kalsel mencari terus kenapa",Negatif,polisi mohon informasi sdh selesai tes psikologi sehat habis tu satpas ketik gak nungguin polisi urut ketik satpas polda kalsel cari
333,"Punya saya kok lama ya di peoses nya... Udah 2 hari ngajukan permohonan, tapi di transaksi apl nya belum juga di proses? Apa kendala nya!!!!",Positif,ya peoses nya udah ngajukan mohon transaksi apl nya proses kendala nya
334,"Aplikasi yang cukup membantu saya dalam memperpanjang SIM A. Iseng2 klik-klik layanan lain di aplikasi korlantas POLRI belum semua berjalan sempurna, tapi khusus layanan perpanjangan SIM saya sangat-sangat mengapreasiasi. Dari pendaftaran, administrasi hingga pemantauan proses pengurusan mudah di pahami. Semoga POLRI khususnya Korlantas POLRI semakin maju dan mengikuti perkembangan jaman dlm memberikan pelayanan kepada masyarakat dan sukses selalu. Bravo polri. Terimakasih",Positif,aplikasi bantu panjang sim a iseng klik layan aplikasi korlantas polri jalan sempurna khusus layan panjang sim sangat mengapreasiasi daftar administrasi pantau proses urus mudah paham moga polri korlantas polri maju ikut kembang jaman dlm layan masyarakat sukses bravo polri terimakasih
335,Sangat cepat !! Sukses teruss,Positif,cepat sukses teruss
336,"Terima kasih, pelayanan profesional Sangat membantu sekali..",Positif,terima kasih layan profesional bantu
337,Aplikasi errikes sma Epsykolog nya ngebug,Negatif,aplikasi errikes sma epsykolog nya ngebug
338,Ok,Positif,ok
339,Ok,Positif,ok
340,"Aplikasi oke, tinggal realisasi di lapangannya",Positif,aplikasi oke tinggal realisasi lapang
341,Cepat dan mantap.. sangat membantu,Positif,cepat mantap bantu
342,Apl ga bisa digunakan untuk layanan apa pun. Kecewa sangat ....,Negatif,apl ga layan kecewa
343,"Untuk aplikasinya udah bagus, tapi sayang hanya bisa perpanjang doang dan itu juga hanya untuk golongan sim tertentu. Kalo ditambah fitur bikin sim baru dan perpanjang untuk semua golongan mungkin akan sangat membantu karena bisa memudahkan masyarakat dan tentunya bisa mencegah pungli pada saat pembikinan sim",Positif,aplikasi udah bagus sayang panjang doang golong sim kalo tambah fitur bikin sim panjang golong bantu mudah masyarakat cegah pungli bikin sim
344,"BB xx,, zo",Positif,bb xx zo
345,Verifikasi kok pake bot sih. Wajah udh berubah jadi gabisa verifikasi. Tolong diperbaiki lagi,Negatif,verifikasi pake bot sih wajah udh ubah gabisa verifikasi tolong baik
346,"Kode otp tidak masuk masuk. Lama sekali, sampai 3x waktu habis tidak masuk juga",Netral,kode otp masuk masuk x habis masuk
347,Mempermudah pengurusan SIM,Positif,mudah urus sim
348,Ga bsa ngomong apa2'poko'a mantullll,Positif,ga bsa ngomong apa poko a mantulll
349,"Dengan Applikasi Digita Korlantas POLRI ini Saya sangat terbantu, berkah selalu tuk POLRI",Positif,applikasi gita korlantas polri bantu berkah tuk polri
350,Sangat mmbantu skli,Positif,mmbantu skli
351,Lumayan,Netral,lumayan
352,"Min, kenapa verifikasi email.. tp tidak masuk ke email saya ya? Padahal sudah kirim ulang bbrp kali dan tdk ad juga email yg masuk..",Positif,min verifikasi email tp masuk email ya kirim ulang bbrp kali tdk ad email yg masuk
353,"Aplikasi sangat bermanfaat dan sangat membantu di tengah pandemi dan kesibukan.,",Positif,aplikasi manfaat bantu pandemi sibuk
354,"Sebenarnya bagus, namun apakah bisa menggantikan SIM fisik apabila razia?",Positif,bagus ganti sim fisik razia
355,"Bagaimana caranya memperpanjang SIM secara online ?? Sy sdh buka2 koq cuma merekam SIM lama doank 😂 mohon petunjuknya dipermudah, tata cara pembayaran pun bisa via ATM 👍",Positif,panjang sim online sy sdh buka koq rekam sim doank mohon tunjuk mudah tata bayar via atm
356,Korlantas polri ok,Positif,korlantas polri ok
357,Kereeen pol,Positif,kereeen pol
358,"Terobosan POLRI yang sangat bagus. Dalam dua hari ini (28-29/06/2021) saya mencoba aplikasi ini untuk memperpanjang SIM, tapi saat proses upload dokumen (KTP dll), aplikasinya terhenti. Sudah dicoba berulang kali tetap tidak bisa. Apakah sistemnya sedang maintenance? Mohon arahan.",Positif,terobos polri bagus coba aplikasi panjang sim proses upload dokumen ktp dll aplikasi henti coba ulang kali sistem maintenance mohon arah
359,Bagaimana cara urus sim A ya pas klik pembuatan sim dk jadi masi dalam pengembangan.kapan bisa pembuatan sim via aplikasinya,Negatif,urus sim a ya pas klik buat sim dk mas kembang kapan buat sim via aplikasi
360,Mantap...,Positif,mantap
361,Alhamdulillah sudah di verepikasi setelah ganti hp.,Positif,alhamdulillah verepikasi ganti hp
362,"Sudah bisa verifikasi, sedang mencoba untuk melakukan perpanjangan. Selalu tingkatkan pelayanan terhadap masyarakat",Netral,verifikasi coba panjang tingkat layan masyarakat
363,"Mantap lah apk nya ringan featur ringan secara visual, bermanfaat sesuai zaman Mudah mudahan apk ini bisa berlaku sebagai sim pengganti (SIM Virtual) bila suatu saat SIM fisik tidak dibawa serta di jalan apabila ada pemeriksaan Terobosan lah buat Polri",Positif,mantap apk nya ringan featur ringan visual manfaat sesuai zaman mudah mudah apk laku sim ganti sim virtual sim fisik bawa jalan periksa terobos polri
364,Ngga bisa tampil setlah masukin pasww..hang ajaaa,Positif,ngga tampil set masukin pasww hang ajaaa
365,kok aku gak bisa buat sim online ya,Negatif,gak sim online ya
366,"Aplikasinya lumayan bagus, lumayan efisien juga untuk perpanjang sim online, saran saya kalau sudah selesai dari proses, bisa di tampilkan nama satpas pengambilanya, lebih bagus lagi bisa langsung di tunjukan ke maps, terimakasih",Netral,aplikasi lumayan bagus lumayan efisien panjang sim online saran selesai proses tampil nama satpas pengambilanya bagus langsung tunjuk maps terimakasih
367,Oke sangat pembantu,Positif,oke bantu
368,Setelah selesai tinggal pilih metode pembayaran tapi tidak bisa diklik.akhirnya malah jadi dibatalkan karena time out.gimana ya,Positif,selesai tinggal pilih metode bayar klik akhir batal time out gimana ya
369,Bikin sim jadi mudah dan cepat,Positif,bikin sim mudah cepat
370,Saya percaya indonesia bisa Maju,Positif,percaya indonesia maju
371,Top,Positif,top
372,Unverified terus,Negatif,unverified
373,Ok,Positif,ok
374,Masa pengembangan terus nih... Sampe kapan kira2??,Negatif,kembang nih sampe
375,Saya mau perpanjang SIM kebetulan tgl 11 bulan depan SIM saya habis. Ada teman di solo sdh pake aplikasi SIM online ternyata murah banget. Nah saya di Curup Bengkulu sdh tanya sama kawan² di polres rejang Lebong untuk perpanjangan SIM B 1 umum dikenakan biaya 1.280.000. apakah memang segitu biaya untuk perpanjangan SIM B 1 umum???,Negatif,panjang sim tgl sim habis teman solo sdh pake aplikasi sim online murah banget curup bengkulu sdh kawan polres rejang lebong panjang sim b kena biaya segitu biaya panjang sim b
376,"Terbaik,mantap",Positif,terbaikmantap
377,"Semoga pelayanan dapat lbh ditingkatkan lagi, contohnya lokasi satpas yg seharus nya sdh bisa ter integrasi ke semua wilayah polda di indonesia, krn dengan pembuatan sim online ini dapat mencegah korupsi khususnya pungli, saya harap tes nya juga bisa dilakukn dengan online,tanpa perlu ke satpas lg....terimaksih",Negatif,moga layan lbh tingkat contoh lokasi satpas yg harus nya sdh ter integrasi wilayah polda indonesia krn buat sim online cegah korupsi pungli harap tes nya dilakukn onlinetanpa satpas lg terimaksih
378,Susah dalam mendaftar eppsinya jadi pas registrasi udah keisi semua giliran dipencet daftar ada peringatan tidak boleh kosong,Netral,susah daftar eppsinya pas registrasi udah isi gilir pencet daftar ingat kosong
379,Saya kasih 5 bintang Terima kasih sudah mempermudah pa 🙏 Desain SIM juga bagus + sudah di kasih anti gores Sekali lagi terimakasih 🙏,Positif,kasih bintang terima kasih mudah pa desain sim bagus kasih anti gores terimakasih
380,Terimakasih Sangat membantu diri sy mungkin jg org lain yg tidak bisa dtg terkait dgn waktu bekerja. utk wilayah satpas di jatim mgkin bisa di perluas area nya.,Positif,terimakasih bantu sy jg org yg dtg kait dgn utk wilayah satpas jatim mgkin luas area nya
381,"Maaf saya mau perpanjang SIM C,gmn caranya mohon penjelasannya tolong",Positif,maaf panjang sim cgmn mohon jelas tolong
382,sudah sampe rumah.. istimewa.. sangat terbantu dengan SIM online ini. suka sekali.mantap.,Positif,sampe rumah istimewa bantu sim online suka sekali mantap
383,Aplikasi masih sering error bos,Positif,aplikasi error bos
384,kenapa mau daftar sim layanan tidak tersedia ya? layanan dalam proses pengembangan.,Netral,daftar sim layan sedia ya layan proses kembang
385,"Min..maaf mau tanya..sy sdh priksa ksehatan d klinik/dokter yg sesuai aplikasi,tapi hasil pmeriksaan di aplikasi e-rikkes blum ada..jadi blm bisa lanjutin proses prpanjangan sim online ny,mohon penjelasan dan bantuan nya min..",Netral,min maaf sy sdh priksa ksehatan d klinik dokter yg sesuai aplikasitapi hasil pmeriksaan aplikasi e-rikkes blum blm lanjutin proses prpanjangan sim online nymohon jelas bantu nya min
386,"Aplikasinya sangat bagus, tapi sayang masih belum bisa untuk mengurusi SIM hilang secara online. Masih dalam pengembangan 😥",Positif,aplikasi bagus sayang urus sim hilang online kembang
387,Sangat membantu sekali dan layanan cepat,Positif,bantu layan cepat
388,Kenapa feature daftar sim belom tersedia?,Negatif,feature daftar sim bom sedia
389,"Izin bertanya admin.. Apakah perpanjang sim C pd saat 6 bulan sebelum jatuh waktu masa aktif nya habis, tdk bs di perpanjang...? Soalnya saya cb selalu ada notif ""ada kesalahan"" setidak nya perpanjang sim di lakukan pd saat 90 hari sebelum masa aktif nya habis.",Positif,izin admin panjang sim c pd jatuh aktif nya habis tdk bs panjang cb notif salah tidak nya panjang sim laku pd aktif nya habis
390,Bagus aplikasi ini mmpermudah dlm pengurusan perpanjangan dan ngurus baru SIM,Positif,bagus aplikasi mmpermudah dlm urus panjang ngurus sim
391,"Kenapa ya saya perpanjang SIM masa berlakunya kok sama dengan SIM lama tahun nya, gimana ini kan harusnya berlaku 5 tahun lagi",Netral,ya panjang sim laku sim nya gimana laku
392,"Sangat membantu, khususnya bagi saya, tanpa perlu antri lama2 bisa lgsung diurus dr rumah. Yg penting paham alur pendaftaran dan penggunaan aplikasi korlantas ini beserta aplikasi tesnya. Sangat mudah",Positif,bantu antri lgsung urus dr rumah yg paham alur daftar guna aplikasi korlantas serta aplikasi tes mudah
393,Besar harapan saya dengan adanya aplikasi ini menjauhkan dari tindak percaloan.,Positif,harap aplikasi jauh tindak calo
394,Keren..Sangat Membantu,Positif,keren bantu
395,Thanks sangatembantu di kala pandemi begini. Terus tingkatkan fitur-fitur lainnya agar bisa dilakukan online,Positif,thanks sangatembantu pandemi tingkat fitur-fitur online
396,"Saya sangat tertarik dengan aplikasi super bagus ini, pertanyaan saya pak, apa saya bisa perpanjangan SIM C dan saya berdomisili di kabupaten barito utara. Mohon bimbingan pak agar saya yakin",Positif,tarik aplikasi super bagus panjang sim c domisili kabupaten barito utara mohon bimbing
397,Bravo Korlantas Polri,Positif,bravo korlantas polri
398,It works,Positif,it works
399,"Lebih mudah dalam proses perpanjang SIM, semoga ke depan pelayanan Polri semakin optimal",Positif,mudah proses panjang sim moga layan polri optimal
400,Sip ok josss,Positif,sip ok josss
401,Happy your day 🤗🤗,Positif,happy your day
402,Kenapa transaksi perpanjang sim saya belum di proses? Saya sudah bayar tapi belum di proses.,Negatif,transaksi panjang sim proses bayar proses
403,"Mantap bisa bikin SIM online, walau yg ada pencetakan SIM nya Polda metro dan Jatim. Tetap bisa dikirim ke seluruh Indonesia. Lebih murah dan efisien tidak perlu antri photo bisa pilih yg paling disukai. Pokoknya mantap dan selamat buat kepolisian utk terobosannya Melayani masyarakat",Positif,mantap bikin sim online yg cetak sim nya polda metro jatim kirim indonesia murah efisien antri photo pilih yg suka pokok mantap selamat polisi utk terobos layan masyarakat
404,top pokoknya,Positif,top pokok
405,Ok,Positif,ok
406,Saya suka,Netral,suka
407,"No hp yg untuk masuk ke APL sudah keblokir pdhl sdh verifikasi nik. Dan skrg mau masuk lg gak bisa, dan masuk dgn nomer lain memasukkan nik yg sama tidak bisa katanya nik sdh terdaftar dgn no hp lain. Bagaimana caranya Krn no awal sdh terblokir???",Positif,no hp yg masuk apl blokir pdhl sdh verifikasi nik skrg masuk lg gak masuk dgn nomer masuk nik yg nik sdh daftar dgn no hp krn no sdh blokir
408,Mantaaap..,Positif,mantaaap
409,Top cuman belum sempurna,Positif,top cuman sempurna
410,its good,Positif,its good
411,"Sudah coba berkali kali padahal saya tinggal di wilayah Polda Metro Jaya, tapi penentuan Satapas selalu muter muter udah bayar via transfer tes nya, apalagi di masa pandemi Covid19 ini. Untuk pengurusan off line beresiko",Negatif,coba kali kali tinggal wilayah polda metro jaya tentu satapas muter muter udah bayar via transfer tes nya pandemi covid urus off line resiko
412,Sangat membantu,Positif,bantu
413,Semoga polri semakin kedepan dalam melayani masyarakat,Positif,moga polri depan layan masyarakat
414,"Sangat membantu dalam memperpanjang sim online dan tidak perlu datang ke kantor 👍, untuk lokasi satpas tolong di tambah lagi, selebihnya luar biasa...",Positif,bantu panjang sim online kantor lokasi satpas tolong lebih
415,ektp saya kok gagal terus di verifikasinya,Netral,ektp gagal verifikasi
416,josddddddddd,Positif,josddd
417,Cara yang mudah cepat dan aman dalam mengurus perpanjangan SIM di masa pandemi covid 19,Positif,mudah cepat aman urus panjang sim pandemi covid
418,"Terimakasih... Digital Korlantas POLRI sangat membantu sekali untuk perpanjangan SIM online, ada 2 kendala yang saya alami, untuk syarat foto SIM lama, foto eKTP, foto tanda tangan Dan fas foto. Untuk Ukuran Tidak bisa terkompres Otomatis. Dan 1lagi perpanjangan Sim A dan C terpisah jadi Harus 2 kali bayar Ongkir.",Positif,terimakasih digital korlantas polri bantu panjang sim online kendala alami syarat foto sim foto ektp foto tanda tangan fas foto ukur kompres otomatis panjang sim a c pisah kali bayar ongkir
419,Sangat membantu masyarakat yang tidak bisa ke daerah asal untuk mengurus SIM,Positif,bantu masyarakat daerah urus sim
420,Bagus,Positif,bagus
421,Sangat ribet sekali harus instal 3 apps... Kalo periksa kesehatan harus ke ketemu dokter knp harus online... Saran dimasa pandemi lebih baik full online kalo pemeriksaan kesehatan cuma tensi sepertinya tidak perlu... Buta warna dll bisa online... Kalo sama2 harus ke polres buat tes kesehatan sangat tidak praktis,Netral,ribet instal apps kalo periksa sehat ketemu dokter knp online saran masa pandemi full online kalo periksa sehat tensi buta warna dll online kalo polres tes sehat praktis
422,"Layanan yg baik, cepat, efisien, bebas pungli. Sukses Korps Lantas Polri👍",Positif,layan yg cepat efisien bebas pungli sukses korps lantas polri
423,"Sangat mudah.. tidak sampai 7 hari SIM sdh sampai rumah.. terima kasih, semoga next bisa untuk memperpanjang pajak kendaraaan dan lain lain.. sukses terus",Positif,mudah sim sdh rumah terima kasih moga next panjang pajak kendaraaan sukses
424,"Mantap proses cepat tidak ribet, memudahkan untuk perpanjangan SIM A atau SIM lainnya. Tingkatkan terus untuk perpanjangan STNK juga biar 1 aplikasi 💪💪",Positif,mantap proses cepat ribet mudah panjang sim a sim tingkat panjang stnk biar aplikasi
425,"Kok saya gak bisa"" login ya, trus disuruh masukan kode otp tapi gak ada di kasi kode otp setelah vertivikasi nomer. Gimana ya ni mohon bantuannya🙏",Negatif,gak login ya trus suruh masuk kode otp gak kasi kode otp vertivikasi nomer gimana ya ni mohon bantu
426,Good,Positif,good
427,"Sangat bagus, walau pun bikin galau karna pengiriman agak lambat. Tapi sangat membantu sekali. Mudah mudahan kedepan lebih baik lagi",Positif,bagus bikin galau karna kirim lambat bantu mudah mudah depan
428,Bagus...,Positif,bagus
429,Untuk menyimpan data SIM nya lama dan tidak bisa.,Netral,simpan data sim nya
430,"Sangat Buruk,Masih Belum bisa,Kalau aplikasinya belum ready,gk usah dilaunching,hanya membuat rating jelek. Apabila aplikasi sudah oke,dan bisa,saya akan edit ulasan lagi,Trimakasih Aplikasi sampe sekarang Masih LOL BET. Mending hapus aja dah nih aplikasi gk guna,wkwkwk",Negatif,burukmasih bisakalau aplikasi readygk dilaunchinghanya rating jelek aplikasi okedan bisasaya edit ulas lagitrimakasih aplikasi sampe lol bet mending hapus aja dah nih aplikasi gk gunawkwkwk
431,"Aplikasi sangat membantu, usahakan jaringan kencang lur, usahakan nomor yang digunakan anda gunakan juga dihp untuk paket data agar lancar jaya",Positif,aplikasi bantu usaha jaring kencang lur usaha nomor dihp paket data lancar jaya
432,Makasih pak SIM A saya udh sampai saya kasih bintang 5 ternyata gampang👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍 tingkatkan lg tinggl perpanjang STNK blom ada,Positif,makasih sim a udh kasih bintang gampang tingkat lg tinggl panjang stnk blom
433,"Pada waktu isi yg e-rikkes app mudah dibuka, tp begitu yg eppsi kenapa tidak bisa dibuka ya 🙏🙏",Positif,isi yg e-rikkes app mudah buka tp yg eppsi buka ya
434,"Perpanjang SIM tidak pernah semudah ini, 4 hari SIM sudah sampe di rumah, itu juga kepotong weekend. Tingkatkan & kembangkan terus layanannya",Positif,panjang sim mudah sim sampe rumah potong weekend tingkat kembang layan
435,Aplikasi ini mempermudah perpanjangan SIM.. semoga bisa buat bikin SIM BARU,Positif,aplikasi mudah panjang sim moga bikin sim
436,"Kok pas masuk ke layanannya, semuanya tertulis 'belum tersedia masih dlm pengembangan'. Jadi, utk apa aplikasinya?",Netral,pas masuk layan tulis sedia dlm kembang utk aplikasi
437,"Aplikasinya udh sangat bagus. Cuma hanya bisa buat perpanjangan sim aja, fitur lain seperti pembuatan sim malah belum ada. Tolong diperbanyak ya fiturnya khususnya pembuatan sim",Netral,aplikasi udh bagus panjang sim aja fitur buat sim tolong banyak ya fiturnya buat sim
438,Daftar verifikasi gagal mulu ni. Kecewa saya,Negatif,daftar verifikasi gagal mulu ni kecewa
439,Kok gak bisa bikin sim baru ya ??,Negatif,gak bikin sim ya
440,Sangat membantu.,Positif,bantu
