,content,sentiment,content_preprocessed
1109,Aplikasi yang sangat bermanfaat... kemajuan pesat pelayanan Polri bagi masyarakat 👍,Positif,aplikasi manfaat maju pesat layan polri masyarakat
1110,"Blom dicoba mudah"" gk rbet dan sangat"" bisa membantu",Positif,coba mudah rbet bantu
1111,"Mantap Polri di bawah pimpinan Bpk Listio Sigit....mampu beradaptasi dg jaman demi memberikan pelayanan yg bersih, transparan dan memuaskan masyarakat...Hidup Polri",Positif,mantap polri pimpin bpk listio sigit adaptasi jaman layan bersih transparan muas masyarakat hidup polri
1112,Apliakasi ini sangat membantu,Positif,apliakasi bantu
1113,aplikasi nya bagus tapi verifikasi wajah gak bisa² udah berhasil tapi kok silang tolong di perbaiki lagi,Positif,aplikasi bagus verifikasi wajah bisa hasil silang tolong baik
1114,"Proses instalasi cepat, termasuk kode otp nya.",Positif,proses instalasi cepat kode otp
1115,Bagus kasih bintang 5 terus selalu ada kemudahan.,Positif,bagus kasih bintang mudah
1116,sangat membantu,Positif,bantu
1117,Klo memang benar sangat bagus buat saya yg mobile,Positif,kalo bagus mobile
1118,Dengan mudah membuat sim dari rumah terimakasih,Positif,mudah sim rumah terimakasih
1119,kenapa di apl rikes yg di bagi faskes/dokter gk bisa di klik,Positif,apl rikes faskes dokter klik
1120,mantaaaaap,Positif,mantaaaaap
1121,"Sekilas bagus. kalau ada pengguna yang kesulitan mendapat kode otp, silakan tambahkan angka 0 sebelumnya meskipun tersedia +62 nya. Ex. 08***** #pengalamansendiri",Positif,kilas bagus guna sulit kode otp sila tambah angka sedia ex pengalamansendiri
1122,Bravo buat Polri saat ini bisa online semua,Positif,bravo polri online
1123,saya coba dulu,Positif,coba
1124,"mantap,tapi blum semua bisa di akses",Positif,mantap akses
1125,"Terima Kasih! Aplikasi sangat membantu dalam memperpanjang SIM, tanpa perlu antre..",Positif,terima kasih aplikasi bantu panjang sim antre
1126,ini program polri yg sangat membatu masyarakat tuk memperpanjang SIM,Positif,program polri batu masyarakat panjang sim
1127,Kode nik kok bilangx sudah terdaftar,Positif,kode nik bilangx daftar
1128,"Cara memperbarui SIM gmna sih, foto SIM saya udah ga keliatan min info dong",Positif,baru sim sih foto sim min info
1129,Aplikasi epPsi gak bisa di install di android. Tolong di perbaiki lagi,Positif,aplikasi eppsi install android tolong baik
1130,"Alhamdulillah, akhirnya diluncurkan juga, perpanjang sim jadi lebih mudah, sukses selalu buat jajaran polri",Positif,alhamdulillah luncur panjang sim mudah sukses jajar polri
1131,Semoga bermanfaat buat semua masyarakat yang membutuhkan SIM,Positif,moga manfaat masyarakat butuh sim
1132,Coba dulu,Positif,coba
1133,susah banget masuk nya .,Positif,susah banget masuk
1134,Bagus,Positif,bagus
1135,Cara masukin OTP nya Gimana ..gak ada kiriman OTP nya..,Positif,pasuk otp kirim otp
1136,"tolong d perbaiki lagi, saat pertama login selalu gabisa karna rpc timeout, semoga bisa lebih baik lagi dan mempermudah masyarakat",Positif,tolong baik login gabisa rpc timeout moga mudah masyarakat
1137,Kenapa tidak bisa login pake no handpone error' terus,Positif,login pakai no handpone error
1138,"Saya kasih bintang 5, supaya aplikasi ini mudah di akses",Positif,kasih bintang aplikasi mudah akses
1139,"Otp masuk tapi RPC timeout ,tp gpp lah tak kasih 4",Positif,otp masuk rpc timeout gpp kasih
1140,Link verifikasi di email tidak terkirim,Positif,link verifikasi email kirim
1141,Salam PRESISI,Positif,salam presisi
1142,Is the best,Positif,is the best
1143,Sangat membantu. Tanpa harus mengantri panjang dan hanya tinggal datang utk cek fisik kesehatan sekitat 15 menit. Lanjutkan!!!!,Positif,bantu antri tinggal cek fisik sehat sekitat menit lanjut
1144,Bagus,Positif,bagus
1145,"Belum pernah nyoba, baru di install, kemauan utk berubah yg perlu kita apresiasi. Bravo korlantas polri",Positif,coba install mau ubah apresiasi bravo korlantas polri
1146,Diharapkan setiap kabupaten kota sudah bisa siap dgn perangkatnya melayani pengguna aplikasi,Positif,harap kabupaten kota perangkat layan guna aplikasi
1147,Terima kasih Polri aplikasi ini sangat membantu sekali utk masyarakat seperti saya,Positif,terima kasih polri aplikasi bantu masyarakat
1148,Siip,Positif,sip
1149,Mantap,Positif,mantap
1150,Tidak semua SIM bisa langsung,Positif,sim langsung
1151,"Beuh keren udah ga perlu ribet lagi bikin SIM tinggal daftar online doang, Bravo polri!",Positif,beuh keren ribet bikin sim tinggal daftar online doang bravo polri
1152,Untuk erikkes wilayah jawa timur belum semuanya ada,Positif,erikkes wilayah jawa timur
1153,Mantab... Presisi banget,Positif,mantab presisi banget
1154,Sangat membantu,Positif,bantu
1155,"Alhamdulillah, Terima Kasih POLRI, ""SALAM PRESISI""",Positif,alhamdulillah terima kasih polri salam presisi
1156,Kalau SIM hilang ngurusnya seperti apa?? Apakah BS menggunakan aplikasi ini???,Positif,sim hilang ngurusnya aplikasi
1157,"Inovasi yang bagus sekali dari Polri, terimakasih",Positif,inovasi bagus polri terimakasih
1158,Bagus nian ....,Positif,bagus nian
1159,Semoga polisi makin dicintai masyarakat,Positif,moga polisi cinta masyarakat
1160,Gud apk,Positif,gud apk
1161,"Luar biasa Komitmen Polri utk melayani Masyarakat, sangat membantu... Salute.. Sanga",Positif,komitmen polri layan masyarakat bantu salute sanga
1162,Trmkasih Polri semakin jaya,Positif,trmkasih polri jaya
1163,Terimakasih Polri.. Semakin maju melayani masyarakat Sukses Polri,Positif,terimakasih polri maju layan masyarakat sukses polri
1164,Good job polri .,Positif,good job polri
1165,Semoga dapat mempermudah masyarakat dlm pelayanan penerbitan SIM yg bebas dari antrian dan dapat mengurangi kerumunan dimasa pandemi,Positif,moga mudah masyarakat layan terbit sim bebas antri kurang kerumun masa pandemi
1166,"Terus Maju dan Inovatif untuk Pelayanan Prima.. Korlantas Polri, JAYAAAAAA...",Positif,maju inovatif layan prima korlantas polri jayaaaaaa
1167,"Aplikasi SINAR koq belum di rilis? Kpn akan rilis nya? Mhn infonya,soalnya aplikasi ini blm maksimal,terutama pas di Rikkesnya langsung terhenti",Positif,aplikasi sinar rilis rilis mhn info aplikasi maksimal pas rikkesnya langsung henti
1168,"Semoga bermanfaat,aamiin",Positif,moga manfaat amin
1169,Bagus,Positif,bagus
1170,Jos pokoknya g perlu repot dan antri 👍👍👍👍,Positif,jos pokok repot antri
1171,Luar Biasa kemajuan Polri menuju Presisi,Positif,maju polri presisi
1172,Top aplikasinya,Positif,top aplikasi
1173,Alhamdulillah aplikasi baru dari Polri sangat membantu dalam pelayanan masyarakat .,Positif,alhamdulillah aplikasi polri bantu layan masyarakat
1174,Keseluruhan bagus.... Untuk tes e-rikkes dan e-ppsi wilayah jawa timur kok ga ada.. Apa cuma saya yg blm bisa.. Mohon segera di perbarui ndan..,Positif,bagus tes e-rikkes e-ppsi wilayah jawa timur mohon baru ndan
1175,Semoga bermanfaat...polri semakin jaya,Positif,moga manfaat polri jaya
1176,"Wow keren, akhirnya bisa online jg",Positif,wow keren online
1178,"Bravo Polri, semoga dapat mempermudah masyarakat",Positif,bravo polri moga mudah masyarakat
1179,Aplikasinya sangat inovatif cocok untuk masa pandemik gini sangat membantu,Positif,aplikasi inovatif cocok pandemik bantu
1180,"Mantap... Bravo POLRI.. aplikasi nya sangat bermanfaat,",Positif,mantap bravo polri aplikasi manfaat
1181,Semoga pajak kendaraan bermotor/ pajak tahunan bisa juga di bayar online lewat sini . 👍,Positif,moga pajak kendara motor pajak tahun bayar online
1182,Semakin baik pelayanan Kepolisian.. Terima kasih,Positif,layan polisi terima kasih
1183,Aplikasi yg sangat bagus dan mempermudah masyarakat,Positif,aplikasi bagus mudah masyarakat
1184,"Alhamdulillah..Mantap Polri..Aplikasi yang Sangat Bermanfaat Bagi Masyarakat..Welcome Police 5.0,Era Society Teknologi Untuk Kesejahteraan Masyarakat👏👏👌👌",Positif,alhamdulillah mantap polri aplikasi manfaat masyarakat welcome police era society teknologi sejahtera masyarakat
1185,"Aplikasi ini sangat membantu masyarakat dalam hal perpanjangan SIM tidak perlu lagi datang ke polres cukup dirumah atau dimana saja bisa dilakukan melalui HP, semoga polri tetap jaya.",Positif,aplikasi bantu masyarakat panjang sim polres rumah mana hp moga polri jaya
1186,Mantap reformasi polri menuju polri yang presisi 👍👍,Positif,mantap reformasi polri polri presisi
1187,Terbaik,Positif,baik
1188,Aplikasi sangat membantu,Positif,aplikasi bantu
1189,Mantap memudah kan masyarakat untuk perpanjangan sim,Positif,mantap mudah masyarakat panjang sim
1190,"Aplikasi terbaik memudahkan dalam proses perpanjangan sim, thanks polri",Positif,aplikasi baik mudah proses panjang sim thanks polri
1191,Semoga terus maju,Positif,moga maju
1192,"Baru download, yg sebentar lagi akan di launching, semoga dapat bermanfaat jangka panjang bagi masyarakat luas. Bukan hanya program jangka pendek semata 👍🏼",Positif,download sebentar launching moga manfaat jangka masyarakat luas program jangka pendek
1194,Mantap semakin mempermudah pelayanan pembuatan SIM bagi masyarakat yg sibuk,Positif,mantap mudah layan buat sim masyarakat sibuk
1195,Aplikasi yang bermanfaat,Positif,aplikasi manfaat
1196,"Luar biasa Dengan kecanggihan dan modernisasi , polri dapat membuat aplikasi yang sangat bermanfaat bagi masyarakat. Tentunya semoga dengan aplikasi ini, masyarakat bisa terbantu.",Positif,canggih modernisasi polri aplikasi manfaat masyarakat moga aplikasi masyarakat bantu
1197,Aplikasinya sangat membantu dan bermanfaat bagi masyarakat......👍👍👍👍👍👍👍👍👍jaya selalu POLRI,Positif,aplikasi bantu manfaat masyarakat jaya polri
1198,Keren😀👍👍,Positif,keren
1199,Sangat bermanfaat dalam masa pandemi,Positif,manfaat pandemi
1200,"Aplikasi mantabbb,...dan memudahkan dalam mengakses layanan. Semoga tambah maju dan lebih bisa optimal dalam pelayanan",Positif,aplikasi mantabbb mudah akses layan moga maju optimal layan
1201,"Aplikasi yg sangat membantu dan tidak memakan waktu,apalagi di masa pandemik ini...karna cukup dr rumah sj kita bisa perpanjang SIM,dan TDK repot untuk mengambil sdh ada yg antar...bravo polri semoga tambah kesini semakin canggih aplikasi2 pelayanan d kepolisian..",Positif,aplikasi bantu makan pandemik rumah panjang sim repot ambil bravo polri moga kesini canggih aplikasi layan polisi
1202,Membantu masyarakat yg sedang dlm perjalanan jauh dan sangat memudahkan dan percepatan dlm proses perpanjangan. Kedepan semakin YESS korlantas polri. YESS,Positif,bantu masyarakat jalan mudah cepat proses panjang depan yess korlantas polri yess
1203,Aplikasi yang sangat membantu memudahkan pelayanan kpd masyarakat.,Positif,aplikasi bantu mudah layan masyarakat
1204,BRAVO POLRIKU SELALU MEMBERIKAN PELAYANAN TERBAIK UNTUK MASYARAKAT 🚔🙏,Positif,bravo polriku layan baik masyarakat
1205,Aplikasi mantabbb,Positif,aplikasi mantabbb
1206,Keren sangat membantu,Positif,keren bantu
1207,"Mantaaap, sangat membantu masyarakat disaat situasi Pandemik seperti ini. Bravo POLRI. Terus berinnovasi 🙏",Positif,mantap bantu masyarakat saat situasi pandemik bravo polri berinnovasi
1208,Aplikasi yg sangat bagus,Positif,aplikasi bagus
1209,Mudah mudahan aplikasi ini bisa membantu masyarakat Indonesia jauh lebih produktif karena tidak membuang waktu dan transparan,Positif,mudah mudah aplikasi bantu masyarakat indonesia produktif buang transparan
1210,POLRI MAKIN MODERN DAN CANGGIH 👍👍,Positif,polri modern canggih
1211,Smoga dengan adanya aplikasi ini smkin banyak pengendara yg memiliki sim amninnn,Positif,moga aplikasi kendara milik sim amninnn
1212,Luar biasa korlantas polri,Positif,korlantas polri
1213,Mantap,Positif,mantap
1215,Keren aplikasi ini ad salh satu upaya Polri menuju polri yg Presisi... ❤️❤️❤️,Positif,keren aplikasi salh upaya polri polri presisi 
1216,Aplikasi nya keren dan sangat membantu 👍👍,Positif,aplikasi keren bantu
1217,Semoga semakin memberika pelayanan terbaik kepada Masyarakat,Positif,moga memberika layan baik masyarakat
1219,Mantap...,Positif,mantap
1220,"Applikasinya fast respond , anti bug bug Jaya Selalu POLR💪🙏💪",Positif,applikasinya fast respond anti bug bug jaya polr
1221,"Korlantas Polri memang luar biasa, aplikasi sinar, perpanjangan sim A dan c secara online baru pertama dilakukan di dunia. Rekor buat Korlantas Polri, salam PRESISI",Positif,korlantas polri aplikasi sinar panjang sim a sih online dunia rekor korlantas polri salam presisi
1222,Semoga bermanfaat buat masyarakat Pak,Positif,moga manfaat masyarakat
1223,Semoga adanya aplikasi ini polri semakin canggih untuk membantu pelayanan kepada masyarakat....bravo polri,Positif,moga aplikasi polri canggih bantu layan masyarakat bravo polri
1224,"Trims pak pol, Sangat membantu sekali inovasinya",Positif,trims pol bantu inovasi
1225,Mantap! Sukses terus Polri.,Positif,mantap sukses polri
1226,Beroperasional dgn baik dan sangat membantu,Positif,operasional bantu
1227,"Luar biasa, aplikasi yang memudahkan masyarakat untuk mengurus perpanjang SIM, STNK dll, Lebih praktis dengan 1 aplikasi, Bravo POLRI👍🙏💪",Positif,aplikasi mudah masyarakat urus panjang sim stnk dll praktis aplikasi bravo polri
1228,Aplikasi ini sungguh sangat membantu sekali untuk masyarakat dan menunjukkan Keterbukaan kinerja Pelayanan Polri,Positif,aplikasi sungguh bantu masyarakat buka kerja layan polri
1229,"MANTAP POLRI, SESUAI MOTTO KAPOLRI PRESISI.",Positif,mantap polri sesuai motto kapolri presisi
1230,Sukses dan Jaya selalu Korlantas Polri.,Positif,sukses jaya korlantas polri
1231,Alhamdulillah akhirnya smakin mudah dalam mengurus SIM..sambil rebahan juga bisa😅..bravo polri bravo korlantas polri,Positif,alhamdulillah mudah urus sim rebah bravo polri bravo korlantas polri
1232,"Sangat membantu masyarakat, dimasa pandemi..",Positif,bantu masyarakat masa pandemi
1233,Memudahkan pelayanan semoga dapat aplikasi yg memberikan terbaik,Positif,mudah layan moga aplikasi baik
1234,Semoga korlantas polri makin jaya...dan bisa dirasakan manfaatnya oleh masyarakat aamiin..,Positif,moga korlantas polri jaya rasa manfaat masyarakat amin
1235,Perpanjang SIM nggak perlu ribet lagi. Makasih pak POLISI,Positif,panjang sim ribet makasih polisi
1236,Dengan adanya tehnologi ini cukup bagus sekali .untuk memudahkan proses pembikinan SIM mantap.,Positif,tehnologi bagus mudah proses bikin sim mantap
1237,"Cukup bagus sekali,d era digital ini.untuk memudah kan proses pembuatan sim",Positif,bagus era digital mudah proses buat sim
1238,Luar biasa pak Kapolri menepati janji dengan cepat..aplikasi sangat bermanfaat👍👍maju terus polri dalam memberikan pelayanan yg terbaik..salam presisi🙏🏻,Positif,kapolri tepat janji cepat aplikasi manfaat maju polri layan baik salam presisi
1239,"Mantap Aplikasinya bisa membantu msyarakat yang tidak bisa datang ke satapas, cukup pakai HP semua beres semoga semakin di tingkatkan",Positif,mantap aplikasi bantu msyarakat satapas pakai hp beres moga tingkat
1240,"Semoga dengan aplikasi ini bisa membantu masyarakat khususnya dimasa pandemi seperti ini, jadi sambil rebahan dirumah perpanjangan sim. Mantul....",Positif,moga aplikasi bantu masyarakat masa pandemi rebah rumah panjang sim mantul
1241,Keren aplikasinya semoga bermanfaat Terima pak pol,Positif,keren aplikasi moga manfaat terima pol
1242,Mantapp Semoga Polri Semakin Jaya,Positif,mantap moga polri jaya
1243,Dengan adanya aplikasi ini alhamdulillah sangat membantu,Positif,aplikasi alhamdulillah bantu
1244,Aplikasi yg luar biasa..semakin maju polri salam presisi,Positif,aplikasi maju polri salam presisi
1245,Mantap bisa mempermudah pelayanan sim 👍👍👍,Positif,mantap mudah layan sim
1246,semakin jaya,Positif,jaya
1247,Mantap,Positif,mantap
1248,"Luar biasa aplikasi yang sangat bermanfaat disaat musim pandemi seperti ini, selalu tingkatkan pelayanan kepada masyarakat .Bravo Polri Bravo Korlantas Polri 🇮🇩🇮🇩🇮🇩",Positif,aplikasi manfaat saat musim pandemi tingkat layan masyarakat bravo polri bravo korlantas polri 
1249,pasti sangat membantu dgn di adakan nya aplikasi ini,Positif,bantu adakan aplikasi
1250,Luar biasa. Polri semakin maju dan selalu mengikuti perkembangan jaman. Tetap jaya selalu,Positif,polri maju ikut kembang jaman jaya
1251,"Semoga Adanya aplikasi Ini dpt memudahkan saya untuk persiapkan Surat Surat kelengkapan administrasi bidang lalu Lintas ! Maju terus polisi lalu lintas, bravo polri 😃",Positif,moga aplikasi mudah siap surat surat lengkap administrasi bidang lintas maju polisi lintas bravo polri
1252,Aplikasi yg sangat membantu masyarakat jooss,Positif,aplikasi bantu masyarakat jooss
1253,Jos,Positif,jos
1254,Mantaaapp smoga bermanfaat buat masyarakat.....,Positif,mantaaapp moga manfaat masyarakat
1255,"Mantap, polri semakin kuat semakin humanis semakin di terpercaya,,,bravo polri",Positif,mantap polri kuat humanis percaya bravo polri
1256,Terima Kasih Polri atas terobosan dan pembaruan tehnologi di ERA yang Serba Tehnologi ini. Polri Profesional. BRAVO POLRI,Positif,terima kasih polri terobos baru tehnologi era serba tehnologi polri profesional bravo polri
1257,Terima kasih polri atas inovasi yg sangat membantu masyarakat pada masa pandemi ini jaya polri....,Positif,terima kasih polri inovasi bantu masyarakat pandemi jaya polri
1258,"Mantab, sukses selalu buat Polri, ditunggu inovasi inovasi selanjutnya...",Positif,mantab sukses polri tunggu inovasi inovasi
1259,Dengan adanya Aplikasi ini sangat mempermudah masyarakat di era teknologi yang semakin maju 👏🙌 Bravo Polri 👍,Positif,aplikasi mudah masyarakat era teknologi maju bravo polri
1260,Aplikasinya sangat membantu masyarakat,Positif,aplikasi bantu masyarakat
1261,mantap tambah mudah dan praktis pelayanan di kepolisian . bravo polri,Positif,mantap mudah praktis layan polisi bravo polri
1262,Aplikasi dan pelayanan sangatlah bagus. Jaya selalu Polri,Positif,aplikasi layan bagus jaya polri
1263,"Terimakasih aplikasi sangat bermanfaat sangat membantu kami sehingga perpanjangan SIM bisa online dari mana saja, terimakasih Polri",Positif,terimakasih aplikasi manfaat bantu panjang sim online terimakasih polri
1264,Tampilannya sangat menarik.. mudah2an fitur2nya mudah di gunakan.,Positif,tampil tarik mudah an fitur mudah
1265,"Sangat memudahkan masyarakat disaat pandemi covid 19 ini, mudah & menghemat waktu & birokrasi. Pokoknya top banget...👍👍👍",Positif,mudah masyarakat saat pandemi covid mudah hemat birokrasi pokok top banget
1266,"Digitalisasi pelayanan publik oleh Korlantas Polri yang diwujudkan dalam aplikasi ini sangat memberikan kemudahan, kecepatan dan kenyamanan bagi masyarakat",Positif,digitalisasi layan publik korlantas polri wujud aplikasi mudah cepat nyaman masyarakat
1267,Sangat memudahkan dalam membantu pekerjaan.,Positif,mudah bantu kerja
1268,Alhamdulillah,Positif,alhamdulillah
1269,Sangat membantu,Positif,bantu
1270,Mantap semakin canggih,Positif,mantap canggih
1271,"Luar biasa trobosan SIM online dari rumah, masyarakat tidak perlu repot repot lagi untuk datang ke kantor tempat pembuatan SIM, AKU SIH IYESSSS BANGET....",Positif,trobosan sim online rumah masyarakat repot repot kantor buat sim sih iyessss banget
1272,aplikasi yang sangat bermanfaat... maju terus korlantas Polri,Positif,aplikasi manfaat maju korlantas polri
1273,"Luar biasa,dengan perkembangan teknologi Informasi dan Kumunikasi yg di pedomani Polri, dan yg terus di upgrade masyarakat tidak perlu repot repot datang ke kantor polisi untuk perpanjangan sim, Hidup polri, jaya selalu Terimakasih",Positif,kembang teknologi informasi kumunikasi pedoman polri upgrade masyarakat repot repot kantor polisi panjang sim hidup polri jaya terimakasih
1274,Sangat membantu masyarakat di tengah pandemi covid 19.,Positif,bantu masyarakat pandemi covid
1275,Mantap 👍,Positif,mantap
1276,"Semoga mempermudah masyarakat dlm pelayanan bidang lalu lintas, good👍👍👍",Positif,moga mudah masyarakat layan bidang lintas good
1277,Jos gandos polri terus berkarya memodahkan pelayanan kepada masyarakat....,Positif,jos gandos polri karya memodahkan layan masyarakat
1278,Semoga aplikasi ini bisa bermanfaat sesuai dengan harapang,Positif,moga aplikasi manfaat sesuai harapang
1279,Aplikasi yang sangat berguna dan lengkap.. 👍👍,Positif,aplikasi guna lengkap
1280,Luar Biasa dan sangat mempermudah perpanjangan sim,Positif,mudah panjang sim
1281,"Mantab Polri Semakin Maju dengan adanya Perkembangan di bidang teknologi, sekarang perpanjangan sim tidak perlu antri, Mantab",Positif,mantab polri maju kembang bidang teknologi panjang sim antri mantab
1282,Aplikasi yang sangat membantu dan mudah digunakan bagi masyarakat semoga kedepanya POLRI tambah jaya dan selalu meberikan rasa aman nyaman dan mengayomi masyarakat BRAVO POLRI 🙏🙏🙏,Positif,aplikasi bantu mudah masyarakat moga depa polri jaya meberikan aman nyaman ayom masyarakat bravo polri
1283,Mantull,Positif,mantull
1284,Baguss,Positif,bagus
1285,Mantabssss,Positif,mantabssss
1286,"Terimakasih Atas Pelayanan Polri Kepada Masyarakat Khususnya Yang Selama ini Di tunggu Tunggu , SIM Online",Positif,terimakasih layan polri masyarakat tunggu tunggu sim online
1287,Semoga bermanfaat,Positif,moga manfaat
1288,"Dimasa pandemi tak perlu desakan dan antre, mantap polri",Positif,masa pandemi desa antre mantap polri
1289,Semoga bermanfaat dan lancar aplikasi nya buat masyarakat,Positif,moga manfaat lancar aplikasi masyarakat
1290,Terimakasih korlantas semoga bermanfaat bagi masyarakat untuk mempermudah pembuatan sim,Positif,terimakasih korlantas moga manfaat masyarakat mudah buat sim
1291,mantap,Positif,mantap
1292,Aplikasi ini sangat membantu dan mempermudah bagi masyarakat,Positif,aplikasi bantu mudah masyarakat
1293,Applikasi yang bagus dan sangat membantu,Positif,aplikasi bagus bantu
1294,Aplikasi ini sgt membantu. Terimakasih Polri.,Positif,aplikasi bantu terimakasih polri
1295,aplikasi sangat membantu mantap...,Positif,aplikasi bantu mantap
1296,Aplikasi ini sangat membantu masyarakat jdi cukup dirumah saja bisa melakukan perpanjangan sim,Positif,aplikasi bantu masyarakat rumah panjang sim
1297,Mantap,Positif,mantap
1298,Mantap..,Positif,mantap
1299,aplikasi ini sangat membantu sekali.. dan saya sangat puas,Positif,aplikasi bantu puas
1300,Aplikasi keren sangat membantu dan memudahkan masyarakat cukup melalui hape bisa memperpanjang SIM,Positif,aplikasi keren bantu mudah masyarakat hape panjang sim
1302,Alhamdulilah..mantap,Positif,alhamdulilah mantap
1303,Mantap semoga sukses polisi lalu lintas,Positif,mantap moga sukses polisi lintas
1304,mantab,Positif,mantab
1305,"Dengan adanya aplikasi sinar semoga dapat mempermudah dan bisa membantu masyarakat, bravo polri semoga semakin dicintai masyarakat",Positif,aplikasi sinar moga mudah bantu masyarakat bravo polri moga cinta masyarakat
1306,"Aplikasi yg sangat membantu, tidak perlu jauh2 lagi ke kantor polisi untuk membuat SIM.",Positif,aplikasi bantu kantor polisi sim
1307,"Memudahkan ketika gue ga ada waktu pas perpanjang sim, thanks!",Positif,mudah gue pas panjang sim thanks
1308,Sangat membantu. Bravo Korlantas Polri..,Positif,bantu bravo korlantas polri
1309,"Harapan adanya Aplikasi yang sangat bermanfaat ini, semoga dapat menghilangkan tindak korupsi di Indonesia yang cukup marak terjadi serta memudahkan masyarakat terkait pelayanan di Indonesia, serta menjadikan Indonesia yang sejahtera dan jujur💯",Positif,harap aplikasi manfaat moga hilang tindak korupsi indonesia marak mudah masyarakat kait layan indonesia jadi indonesia sejahtera jujur
1310,Sangat bermanfaat,Positif,manfaat
1311,Aplikasinya sangat membantu...👍🏾👍🏾,Positif,aplikasi bantu
1312,"Aplikasinya bagus, mempermudah pelayanan perpanjangan SIM",Positif,aplikasi bagus mudah layan panjang sim
1313,"Sebuah terobosan inovatif dari Polri,mantap pak pol, lanjutkan semoga bermanfaat dan selalu amanah",Positif,terobos inovatif polri mantap pol lanjut moga manfaat amanah
1314,Polri semakin unggul 👍👍👍👍,Positif,polri unggul
1315,"Aplikasi sangat membantu bagi para pekerja, tdk perlu dtang ke polres, duduk di rumah buka hp, SIM jadi sudah ad yg nganter. Pokoknya aplikasi josss gandos.",Positif,aplikasi bantu kerja dtang polres duduk rumah buka hp sim nganter pokok aplikasi josss gandos
1316,Mantap kebetulan sim gw mau abis makasi pak polisi,Positif,mantap sim gue habis makas polisi
1317,Sebuah terobosan yg luar biasa. Salut utk polantas Indonesia.,Positif,terobos salut polantas indonesia
1318,Mudah #dimanasaja,Positif,mudah dimanasaja
1319,"Akhirnya ada aplikasi 1 pintu khususnya di bagian lalulintas, semoga Bs sangat lebih membantu, dan lebih cepat proses, trimksh pak polantas",Positif,aplikasi pintu lalulintas moga bantu cepat proses trimksh polantas
1320,"terimakasih cukup membantu, dan tidak ribet lg.",Positif,terimakasih bantu ribet
1321,"Mantaaappp... sangat membantu sekali, semakin mudah...terima kasih POLRI.. Suksess dan Jaya selalu",Positif,mantaaappp bantu mudah terima kasih polri sukses jaya
1322,"Keren, pelayanan polri kini semakin mudah",Positif,keren layan polri mudah
1323,nice app jadi ga perlu antri lagi ke satpas👍👍,Positif,nice app antri satpas
1324,Mau perpanjang SIM jadi lebih gampang. Aplikasi ini sangat bermanfaat.,Positif,panjang sim gampang aplikasi manfaat
1325,"kerenn, ga repot kalo mau perpanjang sim..",Positif,keren repot kalo panjang sim
1326,Good,Positif,good
1327,"Jujur saya kecewa, sudah mengikuti tes psikologi di ePpsi SIM dan juga tes kesehatan di e-rikkes langsung datang ke klinik Polres, kendala pas registrasi wilayah satpas untuk POLDA RIAU belum terdaftar, begitu hubungi call center disarankan langsung datang ke polres,. Mohon sekali lagi untuk tetap memberikan pelayanan yang baik kepada masyarakat dan segera lakukan pengembangan secepat nya untuk wilayah Polda Riau dan juga yang lain nya. Semoga polri semakin jaya.",Negatif,jujur kecewa ikut tes psikologi eppsi sim tes sehat e-rikkes langsung klinik polres kendala pas registrasi wilayah satpas polda riau daftar hubung call center saran langsung polres mohon layan masyarakat laku kembang cepat wilayah polda riau moga polri jaya
1328,Aplikasi ga komplit ga Ada pilihan untuk perpanjang sim B2 UMUM,Negatif,aplikasi komplit pilih panjang sim b
1329,Kenapa gak bisa buat sim saya kira bisa buat bikin sim online,Negatif,sim bikin sim online
1330,"seharusnya ini aplikasi masih beta bukan launching. udah psikotest dan tes kesehatan lewat app (gak gratis lho), ternyata belum bisa dipakai d sby dan harus psikotest dan tes kesehatan ulang ditempat perpanjang offline, yg tes lewat app tidak bisa d pake, bayarnya jd dobel",Negatif,aplikasi beta launching psikotest tes sehat app gratis lho pakai surabaya psikotest tes sehat ulang tempat panjang offline tes app pakai bayar dobel
1331,"Tolong ya min di respons... Dari tgl 2 Mei sampai skrg tgl 6 Mei blm jga ada kabar di aplikasi, perpanjangan SIM C dan A semua udh bayar,tolong di jawab min ?? SIM saya dua duanya mati tgl 14 Mei ini,klo sampai tgl 14 blm juga jadi dan blm ada kabar,l klo saya jln lalu saya di tilang gara2 SIM yg saya pegang sdh tdk berlau ,apa yg harus saya jelas ke petugas di lapangan,klo saya sdh jelaskan dan tetap di tilang itu bgmna min siapa yg bertanggung jawab?? Tolong respons nya ya min???",Negatif,tolong min respons tanggal mei tanggal mei kabar aplikasi panjang sim sih a bayar tolong min sim dua mati tanggal mei kalo tanggal kabar l kalo jalan tilang gara sim pegang berlau tugas lapang kalo tilang min tanggung tolong respons min
